Scheme,Priority,Run,Batch,Time,Runtime
FS,1,11,B4,280.05507099442184,21.63662102523518
FS,1,11,B4,280.20456701051444,13.819654626665391
FS,1,11,B2,290.63738498371094,78.89620343018647
FS,1,11,B3,290.7050319481641,41.25003004564369
FS,1,11,B5,290.7360839890316,39.77067879393942
FS,1,11,B5,290.7595959259197,43.529171071108834
FS,1,11,B4,290.89941596612334,14.143010902836544
FS,1,11,B5,290.92841991223395,22.396276187675802
FS,1,11,B1,291.3350840099156,107.84443473485311
FS,1,11,B4,291.36797098908573,10.465029166825895
FS,1,11,B4,302.06331494264305,15.846069531673123
FS,1,11,B4,302.11157898884267,17.9067474948082
FS,1,11,B4,302.15751694049686,21.89063504589719
FS,1,11,B4,302.2557059302926,10.077255273650044
FS,1,11,B1,302.28957696817815,104.79069216583994
FS,1,11,B5,311.5413299528882,16.872691268063342
FS,1,11,B5,311.5667779929936,86.3663621838982
FS,1,11,B3,311.6156319156289,37.68307270654534
FS,1,11,B4,311.63837295025587,8.385821832930146
FS,1,11,B5,311.6755309747532,18.914019145571785
FS,1,11,B4,311.7648030165583,17.609172281218054
FS,1,11,B1,311.79058691486716,66.25989473583667
FS,1,11,B3,312.28299997746944,31.63126187676607
FS,1,11,B4,320.9980910178274,14.212392627405265
